IBOV;;CDB;puCdb;;PETR36;puPet;;CPLD26;puCp;;TAEE26;puTae;;ITSA24;puIt;;Selic2026;puSelic26;;Selic2028;puSelic28;;Pre2024Primeiro;pu24p;;Pre2024Segundo;pu24s;;Ipca2026;puIpca26;;;;
0,009672525;;0,000347493;6420,10117;;0,000541719;812,3874549;;0,002831552;895,3806646;;0,003456366;1001,846936;;0,00023759;838,9126306;;0,000464367;11234,04491;;0,000622971;11162,90424;;-0,002107402;808,003559;;-0,003690048;769,070584;;0,005033845;3016,74;;;;
-0,011754235;;0,000347492;6422,33211;;0,000510677;812,8275408;;0,003763711;897,9159818;;0,005592632;1005,309685;;-0,00000434;839,1119481;;0,000374691;11239,26164;;0,000773122;11169,8584;;0,002138462;810,475543;;0,002700271;772,13606;;-0,000910959;3019,18;;;;
-0,001798794;;0,000401676;6424,56382;;0,000548517;813,2426331;;0,00764554;901,2954782;;0,006696568;1010,932012;;0,000179375;839,108303;;0,000427076;11243,47288;;0,000820666;11178,49407;;-0,002584822;812,683761;;-0,00275499;774,561543;;0,001234373;3025,52;;;;
0,004934557;;0,000401676;6427,14441;;0,000212193;813,6887107;;-0,003942363;908,186369;;-0,006151736;1017,701787;;-0,000129991;839,2588181;;0,000466153;11248,2747;;0,000573058;11187,66787;;-0,002510374;815,116764;;-0,002305734;777,306864;;-0,000138079;3040,75;;;;
-0,002244067;;0,000401675;6429,72604;;0,000562886;813,8613701;;0,002846289;904,605969;;0,005353523;1011,441154;;0,000769028;839,1497217;;0,000477229;11253,51812;;0,000441222;11194,07905;;-0,001444717;813,398985;;-0,002320925;774,438564;;-0,006868751;3037,98;;;;
0,002119019;;0,000401675;6432,3087;;0,000128066;814,3194815;;-0,005165348;907,1807394;;-0,0057493;1016,855928;;0,000258012;839,7950515;;0,000452042;11258,88863;;0,000548689;11199,01812;;-0,002189044;815,138408;;-0,001886838;776,529758;;0,001152158;3041,73;;;;
0,002046287;;0,000401676;6434,8924;;0,000413082;814,4237684;;-0,002891131;902,4948351;;-0,002661005;1011,009717;;0,000734982;840,011729;;0,00047722;11263,97812;;0,000494941;11205,1629;;-0,000457403;813,03142;;-0,000975939;774,390426;;-0,001326102;3041,31;;;;
0,008052217;;0,000401676;6437,47714;;0,000468859;814,7601926;;0,000201795;899,8856039;;-0,003007942;1008,319416;;0,000546386;840,6291222;;0,000453043;11269,35352;;0,000998697;11210,70879;;0,002833381;810,990407;;0,003077871;772,604888;;0,00180139;3020,42;;;;
0,002427762;;0,000401675;6440,06292;;0,000558742;815,1422;;-0,003152137;900,0671966;;0,00161036;1005,28645;;0,000604437;841,08843;;0,00048426;11274,45902;;0,00083626;11221,90489;;-0,000283393;809,818755;;0,000171522;770,81173;;0,00478956;3023,9;;;;
0,002309337;;0,000401675;6442,64973;;0,000620703;815,5976541;;0,000878837;897,2300613;;0,002654826;1006,905322;;0,000426327;841,5968148;;0,000453036;11279,91879;;0,001118577;11231,28932;;-0,000541093;808,046026;;-0,001385894;769,357333;;-0,002033015;3019,89;;;;
0,00811445;;0,000401675;6445,23758;;0,000826278;816,1038982;;0,003360324;898,0185803;;0,005434717;1009,578481;;0,002050784;841,95561;;0,00050036;11285,029;;0,001202047;11243,85238;;0,001179778;807,676423;;0,001604035;768,606487;;-0,001819596;3025,33;;;;
0,003056439;;0,000401675;6447,82647;;0,000720181;816,7782267;;-0,000792294;901,0362136;;-0,0011149;1015,065254;;0,000281184;843,6822791;;0,000548678;11290,67557;;0,001206462;11257,36802;;0,001125814;809,964878;;0,001736941;770,972159;;-0,001175647;3039,82;;;;
-0,014300227;;0,000401675;6450,4164;;0,000659816;817,3664546;;1,06E-05;900,3223277;;-0,003961505;1013,933558;;0,000980044;843,9195094;;0,000524496;11296,87052;;0,001480595;11270,94961;;-0,000192537;809,73534;;-0,000612595;771,104398;;0,001375407;3033,64;;;;
-0,005754245;;0,000401675;6453,00737;;0,000680711;817,9057663;;-0,00149139;900,3318721;;-0,003454236;1009,916855;;0,000684789;844,7465874;;0,000608026;11302,79568;;0,00040168;11287,63732;;0,00263048;809,297198;;0,003052145;770,035729;;-0,002862595;3028,12;;;;
-0,010215336;;0,000401676;6455,59938;;0,000800142;818,4625238;;0,003390736;898,9891259;;0,000975593;1006,428364;;0,00060914;845,3250607;;0,000848503;11309,66807;;0,000330032;11292,17134;;-0,001240597;810,251989;;-0,001957855;771,270893;;-0,001407261;3024,56;;;;
0,010423875;;0,000401676;6458,19244;;0,000414266;819,1174099;;-0,004902959;902,0373605;;-0,003062939;1007,410228;;0,000556009;845,839982;;0,000835226;11319,26436;;0,000335073;11295,89811;;4,63964E-06;811,164182;;-0,000495399;772,610545;;0,004847802;3028,72;;;;
-0,007890387;;0,000401676;6460,78654;;0,000767746;819,4567426;;0,00040631;897,6147083;;0,001109576;1004,324592;;0,00056576;846,3102762;;0,000598753;11328,71851;;0,000258364;11299,68305;;-0,002426962;811,008003;;-0,002767142;772,137248;;-0,00156414;3020,05;;;;
-0,003663537;;0,000401675;6463,38168;;0,000416624;820,0858775;;-0,000975027;897,9794185;;-0,001043;1005,438967;;0,000872118;846,7890851;;0,000410727;11335,50161;;0,000240173;11302,60248;;-0,003282301;813,141343;;-0,003930404;774,493923;;-0,002402766;3015,8;;;;
0,013911013;;0,000401675;6465,97786;;0,000532422;820,4275447;;0,000850095;897,103864;;0,000387325;1004,390294;;0,000223;847,5275853;;0,000430833;11340,15741;;0,000103854;11305,31707;;-0,002938399;812,132562;;-0,004443517;772,977576;;-0,000887885;3030,42;;;;
0,017945157;;0,000401676;6468,57508;;0,000320564;820,8643586;;-0,001231069;897,8664871;;-0,001562703;1004,779319;;0,000311299;847,7165836;;0,000441889;11345,04312;;0,000169408;11306,49117;;-0,002923618;812,13633;;-0,00400448;772,594644;;-0,004897653;3025,68;;;;
-6,84E-05;;0,000401675;6471,17335;;0,000384451;821,1274984;;-0,00074495;896,7611518;;-0,000244856;1003,209147;;0,000392825;847,9804772;;0,000629859;11350,05637;;0,000324911;11308,40658;;0,000362131;810,165306;;-0,001080424;770,456765;;0,000133291;3018,41;;;;
-0,006050247;;0,000401676;6473,77266;;0,000634385;821,443182;;-0,004073079;896,0931096;;-0,004003896;1002,963505;;0,000449328;848,3135852;;0,000417759;11357,20531;;0,000234998;11312,08081;;0,004112605;807,5061;;0,005428481;767,428559;;0,003918224;3015,73;;;;
