IBOV;;;CDB;PETR36;CPLD26;TAEE26;ITSA24;;Média diária;Média Carteira Privada;;;2026;2028;IBOV;Média carteira pública;;;Média carteira total;;;Selic2026;Selic2028;Pre2024Primeiro;Pre2024Segundo;Ipca2026
-0,006220454;;;0,000347493;0,000255529;0,00138385;0,000631069;0,000382837;;0,000301511;0,000267484;1.000.267.484;;0,000378726;0,000496742;-0,006220454;0,000414131;1.000.414.131;;0,000340807;1.000.340.807;;0,0003746908948970250;0,0004967424085250210;0,0027245954786324600;0,0031412637301254700;0,0008088201170800450
0,002083366;;;0,000347492;0,000489414;0,001816402;0,004474293;0,000660499;;0,000418453;0,000470964;1.000.470.964;;0,000366634;0,000477432;0,002083366;0,000399873;1.000.399.873;;0,000435419;1.000.435.419;;0,0004270758732235170;0,0004774318723728180;0,0029937881335369600;0,0035443548996338300;0,0020999079220186100
0,009672525;;;0,000347493;0,000541719;0,002831552;0,003456366;0,00023759;;0,000444606;0,00051647;100.051.647;;0,000464367;0,000622971;0,009672525;0,000511948;1.000.511.948;;0,000514209;1.000.514.209;;0,0004661529114326610;0,0006229705864830940;-0,0021074023696560200;-0,0036900484645662100;0,0050338454216134800
-0,011754235;;;0,000347492;0,000510677;0,003763711;0,005592632;-0,00000434;;0,000429085;0,000489463;1.000.489.463;;0,000374691;0,000773122;-0,011754235;0,00049422;100.049.422;;0,000491842;1.000.491.842;;0,0004772294268016490;0,0007731222448418190;0,0021384622209726400;0,0027002710056158500;-0,0009109594672366950
-0,001798794;;;0,000401676;0,000548517;0,00764554;0,006696568;0,000179375;;0,000475096;0,000529428;1.000.529.428;;0,000427076;0,000820666;-0,001798794;0,000545153;1.000.545.153;;0,00053729;100.053.729;;0,0004520423968176630;0,0008206655517867860;-0,0025848223802503000;-0,0027549903631638600;0,0012343728398475300
0,004934557;;;0,000401676;0,000212193;-0,003942363;-0,006151736;-0,000129991;;0,000306935;0,000236826;1.000.236.826;;0,000466153;0,000573058;0,004934557;0,000498224;1.000.498.224;;0,000367525;1.000.367.525;;0,0004772198545005140;0,0005730575911349690;-0,0025103740763180100;-0,0023057335680439900;-0,0001380793167046620
-0,002244067;;;0,000401675;0,000562886;0,002846289;0,005353523;0,000769028;;0,000482281;0,000541929;1.000.541.929;;0,000477229;0,000441222;-0,002244067;0,000466427;1.000.466.427;;0,000504178;1.000.504.178;;0,0004530432019195730;0,0004412218261835020;-0,0014447174589082300;-0,0023209250004123000;-0,0068687506370609600
0,002119019;;;0,000401675;0,000128066;-0,005165348;-0,0057493;0,000258012;;0,000264871;0,000163635;1.000.163.635;;0,000452042;0,000548689;0,002119019;0,000481036;1.000.481.036;;0,000322336;1.000.322.336;;0,0004842597760832110;0,0005486889952455810;-0,0021890441398829100;-0,0018868381777220400;0,0011521576469497700
0,002046287;;;0,000401676;0,000413082;-0,002891131;-0,002661005;0,000734982;;0,000407379;0,0004116;10.004.116;;0,00047722;0,000494941;0,002046287;0,000482536;1.000.482.536;;0,000447068;1.000.447.068;;0,0004530364178102750;0,0004949408634646890;-0,0004574034004344990;-0,0009759392258889720;-0,0013261020536394100
0,008052217;;;0,000401676;0,000468859;0,000201795;-0,003007942;0,000546386;;0,000435267;0,000460125;1.000.460.125;;0,000453043;0,000998697;0,008052217;0,000616739;1.000.616.739;;0,000538432;1.000.538.432;;0,0005003596357616790;0,0009986968896194410;0,0028333809615239900;0,0030778714986307600;0,0018013901168585800
0,002427762;;;0,000401675;0,000558742;-0,003152137;0,00161036;0,000604437;;0,000480208;0,000538323;1.000.538.323;;0,00048426;0,00083626;0,002427762;0,00058986;100.058.986;;0,000564091;1.000.564.091;;0,0005486781512715030;0,0008362598944788840;-0,0002833925349539020;0,0001715224064270180;0,0047895601471575800
0,002309337;;;0,000401675;0,000620703;0,000878837;0,002654826;0,000426327;;0,000511189;0,00059223;100.059.223;;0,000453036;0,001118577;0,002309337;0,000652699;1.000.652.699;;0,000622464;1.000.622.464;;0,0005244959645691220;0,0011185770967210400;-0,0005410928464601420;-0,0013858940537387500;-0,0020330151127370300
0,00811445;;;0,000401675;0,000826278;0,003360324;0,005434717;0,002050784;;0,000613976;0,000771079;1.000.771.079;;0,00050036;0,001202047;0,00811445;0,000710866;1.000.710.866;;0,000740973;1.000.740.973;;0,0006080257657258560;0,0012020467309260400;0,0011797779633483900;0,0016040346616177000;-0,0018195962605978200
0,003056439;;;0,000401675;0,000720181;-0,000792294;-0,0011149;0,000281184;;0,000560928;0,000678775;1.000.678.775;;0,000548678;0,001206462;0,003056439;0,000746013;1.000.746.013;;0,000712394;1.000.712.394;;0,0008485027091168290;0,0012064620235456300;0,0011258139595878300;0,0017369409531185300;-0,0011756469360527100
